Years,Months,Train Name,Reason,Region,Deaths,Injury
1990,April,,fire,Patna,70,
1990,June,,fire,Andhra,36,
1990,June,,collided,Bihar,,
1990,October,,fire,Cherlapalli,40,
1991,March,Karnataka Express,derailed,Makalidurga,30,
1991,December,,,,27,
1992,September,,collision,Raigarh,41,
1993,January,,collided,Ambiyapur,,
1993,July,,,Bihar,60,
1993,September,,collided,Rajasthan,71,
1994,May,Narayanadri Express,collided,Nalgonda,35,
1994,October,,fire,Mumbai,27,
1995,May,Kanyakumari Express,collided,Salem,52,
1995,June,The Jammu Tawi Express,collided,Kolkata,45,335
1995,June,Hirakud Express,derailed,"Barpali, Orissa",,
1995,August,Kalindi Express,collided,Firozabad,400,
1996,April,,collided,Gorakhpur,60,
1996,May,,collided,Kerala,35,
1996,May,,collided,Varanasi,25,
1996,December,,,,33,
1997,July,,,Bhatinda,33,
1997,July,Himsagar Express,collided,Delhi,12,
1997,August,Coromandel Express,collided,Andhra,75,
1997,September,Howrah Express,plunged,,81,
1997,October,Coromandel Express,derailed,,,
1997,December,Chennai-Alleppey Express,,Thrissur,10,70
1998,,Kashi Vishwanath Express,collided,,70,
1998,April,Danapur Express,derailed,Delhi,11,50
1998,April,,collided,,24,32
1998,August,The Chennai–Madurai Express,collided,Karur-Salem,19,27
1998,September,,collided,Andhra,20,33
1998,November,the Jammu Tawi–Sealdah Express,collided,,212,
1999,July,,collided,DN,17,200
1999,August,Avadh Assam Express,collided,Katihar,285,300
1999,August,Coromandel Express,derailed,,50,500
1999,December,Coromandel Express,derailed,Jenapur,20,100
2000,December,,collided,,,
2001,June,,derailment,,52,
2002,February,The Sabarmati Express,attacked,Gujarat,58,43
2002,February,the Ahmedabad - Delhi Ala Hazrat Express,attacked,,,100
2002,May,the Shramjeevi Express,derailed,Jaunpur,12,80
2002,June,Kasganj Express,collided,Kasganj,30,29
2002,September,the Howrah Rajdhani Express,derailed,,140,
2003,May,,fire,Ludhiana,36,15
2003,June,,derailed,Karwar,52,26
2003,July,Golconda Express,derailed,,21,24
2004,June,The Matsyagandha Express,derailed,Mumbai,14,
2004,December,The Jammu Tawi Express,collided,,37,50
2005,July,the Shramjeevi Express,,Jaunpur,13,50
2005,October,the Bundelkhand Express,derailed,Datia,16,100
2005,October,The Island Express,derail,Kamasamudram,,
2005,October,,derailed,Valigonda,114,200
2006,July,,,Mumbai,200,700
2006,November,,terrorist,West Bengal,,
2006,December,,,Bihar,35,17
2007,February,,attacked,,,
2007,August,Howrah Express,derailed,Kanpur,,
2008,August,Gowthami Express,fire,,40,
2009,February,Coromandel Express,fire,Orissa,,
2009,April,,collided,,4,
2009,October,Mewar Express,collision,Mathura,21,
2010,January,,,,,
,,Magadh Express,collided,Lucknow,,
,,Prayagraj Express,collided,Kanpur,10,51
,,The Saryu Express,,Pratapgarh,,
2010,January,Arunachal Pradesh Express,derailed,Helem,,
2010,January,,collision,Tundla,,
2010,January,,collision,Barabanki,,
2010,January,,derailment,Azamgarh,,
2010,May,Rajdhani Express,derailed,Bihar,,11
2010,May,Super Deluxe Express,derailment,Khemashuli,140,
2010,June,,collided,Idigarai,5,
2010,June,Amaravati Express,derailed,Karnataka,,27
2010,July,the Vananchal Express,collision,Sainthia,66,
2010,August,,collided,Ernakulam,,
2010,August,,,Barabanki,4,
2011,January,,collision,Jaunpur,,
2011,January,,derailment,Ghaziabad,,
2011,July,Mathura–Chhapra Express,,,38,30
2011,July,,derailment,Fatehpur,70,300
2011,July,Puri Express,derailed,Nalbari,,100
2011,July,,derail,,,
2011,July,Kaziranga Express,derailed,West Bengal,3,200
2011,September,,collided,Vellore,10,
2011,November,,fire,,7,
2011,November,,derailed,Jammu,,20
2012,January,,collided,,5,9
2012,February,Shatabdi Express,,,3,1
2012,March,,collided,,15,
2012,March,,collided,Kannamangala,,
2012,May,the Hubli-Bangalore Hampi Express,collided,Andhra,,
2012,May,,derailed,Jaunpur,5,15
2012,July,Vidarbha Express,collided,Kasara,1,4
2012,July,Tamil Nadu Express,fire,Nellore,47,25
2012,,Grand Trunk Express,fire,Gwalior,,
2012,December,Yesvantpur Express,collided,Medak,,
2012,December,,derailed,Nivsar,,
2012,December,,collision,New Tinsukia,,71
2013,April,Yesvantpur Weekly Express,derailed,Arakkonam,1,1
2013,August,Saharsa–Patna Rajya Rani Superfast Express,,Bihar,35,
2013,November,Alappuzha–Dhanbad Express,fire,Rayagada,,
2013,November,,,West Bengal,7,10
2013,November,,derail,Ghoti village,3,
2013,December,,fire,Andhra,26,12
2014,March,,derail,Titwala,1,9
2014,May,Bangalore Kaziranga Express,,,1,14
2014,May,,derailed,,,100
2014,May,Gorakhdham Express,collided,Khalilabad,25,50
2014,June,Dibrugarh Rajdhani Express,derailed,Bihar,4,8
2014,July,,collision,Medak,20,
2015,February,,derailment,Bangalore City,12,100
2015,March,Janta Express,derailed,Dehradun,58,150
2015,May,Muri Express,derailed,,5,50
2015,August,Kamayani Express,derailment,,31,100
2015,September,Central Express,derailed,Puvanur,,
2015,September,,,Karnataka,2,7
2015,September,,derailed,India,2,13
2016,February,the Kanyakumari-Bengaluru Island Express,derailed,,,
2016,May,,collision,Pattabiram,,7
2016,August,the Thiruvananthapuram-Mangaluru Express,derailed,Kerala,,
2016,September,,collision,Cuttack,,
